program,source_filename,source_page,persisted_document_page,detector_document_page,detector_status,detector_candidate_count,edge_candidate,edge_position,edge_candidate_status,anchor_type,observed_offset,segment_id,segment_offset,segment_confidence,proposed_document_page,resolution_class,human_review_required,visual_page_number,visual_position,source_image_present
AIT,ait_page_023.png,23,,19,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_023_026,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_024.png,24,,20,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_023_026,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_025.png,25,,21,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_023_026,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_026.png,26,,22,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_023_026,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_287.png,287,,283,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_288.png,288,,284,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_289.png,289,,285,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_290.png,290,,286,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_291.png,291,,287,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_292.png,292,,288,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_293.png,293,,289,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_294.png,294,,290,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_295.png,295,,291,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_296.png,296,,292,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_297.png,297,,293,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_298.png,298,,294,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_299.png,299,,295,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_300.png,300,,296,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_301.png,301,,297,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
AIT,ait_page_302.png,302,,298,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,4,AIT_287_302,4,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_026.png,26,,21,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_027.png,27,,22,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_028.png,28,,,AMBIGUOUS,2,23,TOP,EDGE_AMBIGUOUS,EDGE_VISUAL,5,DSBA_026_039,5,STRONG,,VISUALLY_RESOLVED,False,23,TOP,True
DSBA,dsba_page_029.png,29,,24,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_030.png,30,,,AMBIGUOUS,2,25,TOP,EDGE_AMBIGUOUS,EDGE_VISUAL,5,DSBA_026_039,5,STRONG,,VISUALLY_RESOLVED,False,25,TOP,True
DSBA,dsba_page_031.png,31,,26,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_032.png,32,,,AMBIGUOUS,3,27,TOP,EDGE_AMBIGUOUS,EDGE_VISUAL,5,DSBA_026_039,5,STRONG,,VISUALLY_RESOLVED,False,27,TOP,True
DSBA,dsba_page_033.png,33,,28,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
DSBA,dsba_page_034.png,34,,29,DIRECT_DETECTED,1,,,NOT_APPLICABLE,DETECTOR,5,DSBA_026_039,5,STRONG,,DIRECT_DETECTED,False,,,True
