program,plan,field,sample_count,cer,character_accuracy_percent,wer,word_accuracy_percent
DSBA,coop,code,89,0.0,100.0,,
DSBA,coop,name_th,89,0.0408,95.92,0.128,87.2
DSBA,coop,name_en,89,0.0488,95.12,0.2747,72.53
DSBA,coop,credits,89,0.0046,99.54,,
DSBA,coop,prerequisite,89,0.0,100.0,0.0,100.0
DSBA,no_coop,code,90,0.0,100.0,,
DSBA,no_coop,name_th,90,0.0333,96.67,0.1223,87.77
DSBA,no_coop,name_en,90,0.0495,95.05,0.284,71.6
DSBA,no_coop,credits,90,0.0069,99.31,,
DSBA,no_coop,prerequisite,90,0.0,100.0,0.0,100.0
IT,coop,code,106,0.0,100.0,,
IT,coop,name_th,106,0.0364,96.36,0.1131,88.69
IT,coop,name_en,106,0.0323,96.77,0.2437,75.63
IT,coop,credits,106,0.0075,99.25,,
IT,coop,prerequisite,106,0.0292,97.08,0.0283,97.17
IT,no_coop,code,108,0.0,100.0,,
IT,no_coop,name_th,108,0.0205,97.95,0.1094,89.06
IT,no_coop,name_en,108,0.0342,96.58,0.2516,74.84
IT,no_coop,credits,108,0.0084,99.16,,
IT,no_coop,prerequisite,108,0.0287,97.13,0.0278,97.22
AIT,,code,56,0.0,100.0,,
AIT,,name_th,56,0.0344,96.56,0.344,65.6
AIT,,name_en,56,0.0365,96.35,0.201,79.9
AIT,,credits,56,0.0087,99.13,,
AIT,,prerequisite,56,0.0,100.0,0.0,100.0
GENED,gened,code,266,0.0,100.0,,
GENED,gened,name_th,266,0.0351,96.49,0.1791,82.09
GENED,gened,name_en,266,0.0443,95.57,0.2722,72.78
GENED,gened,credits,266,0.0019,99.81,,
GENED,gened,prerequisite,266,0.0,100.0,0.0,100.0
